SKU,METADATA
TAIL-1,"{""bundled_items"":{""BU-FTSH-1"":1,""BU-FTPA-1"":1,""BU-TANO-1"":1,""BU-TABO-1"":1,""BU-TAFL-1"":1}}"
TAIL-2,"{""bundled_items"":{""BU-FTSH-1"":1,""BU-FTPA-2"":1,""BU-TANO-1"":1,""BU-TABO-1"":1,""BU-TAFL-1"":1}}"
TAIL-3,"{""bundled_items"":{""BU-FTSH-1"":1,""BU-FTPA-3"":1,""BU-TANO-1"":1,""BU-TABO-1"":1,""BU-TAFL-1"":1}}"
TAIL-4,"{""bundled_items"":{""BU-FTSH-1"":1,""BU-FTPA-4"":1,""BU-TANO-1"":1,""BU-TABO-1"":1,""BU-TAFL-1"":1}}"
TAIL-5,"{""bundled_items"":{""BU-FTSH-1"":1,""BU-FTPA-5"":1,""BU-TANO-1"":1,""BU-TABO-1"":1,""BU-TAFL-1"":1}}"
TAIL-6,"{""bundled_items"":{""BU-FTSH-2"":1,""BU-FTPA-1"":1,""BU-TANO-1"":1,""BU-TABO-1"":1,""BU-TAFL-1"":1}}"
TAIL-7,"{""bundled_items"":{""BU-FTSH-2"":1,""BU-FTPA-2"":1,""BU-TANO-1"":1,""BU-TABO-1"":1,""BU-TAFL-1"":1}}"
TAIL-8,"{""bundled_items"":{""BU-FTSH-2"":1,""BU-FTPA-3"":1,""BU-TANO-1"":1,""BU-TABO-1"":1,""BU-TAFL-1"":1}}"
TAIL-9,"{""bundled_items"":{""BU-FTSH-2"":1,""BU-FTPA-4"":1,""BU-TANO-1"":1,""BU-TABO-1"":1,""BU-TAFL-1"":1}}"
TAIL-10,"{""bundled_items"":{""BU-FTSH-2"":1,""BU-FTPA-5"":1,""BU-TANO-1"":1,""BU-TABO-1"":1,""BU-TAFL-1"":1}}"
TAIL-11,"{""bundled_items"":{""BU-FTSH-3"":1,""BU-FTPA-1"":1,""BU-TANO-1"":1,""BU-TABO-1"":1,""BU-TAFL-1"":1}}"
TAIL-12,"{""bundled_items"":{""BU-FTSH-3"":1,""BU-FTPA-2"":1,""BU-TANO-1"":1,""BU-TABO-1"":1,""BU-TAFL-1"":1}}"
TAIL-13,"{""bundled_items"":{""BU-FTSH-3"":1,""BU-FTPA-3"":1,""BU-TANO-1"":1,""BU-TABO-1"":1,""BU-TAFL-1"":1}}"
TAIL-14,"{""bundled_items"":{""BU-FTSH-3"":1,""BU-FTPA-4"":1,""BU-TANO-1"":1,""BU-TABO-1"":1,""BU-TAFL-1"":1}}"
TAIL-15,"{""bundled_items"":{""BU-FTSH-3"":1,""BU-FTPA-5"":1,""BU-TANO-1"":1,""BU-TABO-1"":1,""BU-TAFL-1"":1}}"
TAIL-16,"{""bundled_items"":{""BU-FTSH-4"":1,""BU-FTPA-1"":1,""BU-TANO-1"":1,""BU-TABO-1"":1,""BU-TAFL-1"":1}}"
TAIL-17,"{""bundled_items"":{""BU-FTSH-4"":1,""BU-FTPA-2"":1,""BU-TANO-1"":1,""BU-TABO-1"":1,""BU-TAFL-1"":1}}"
TAIL-18,"{""bundled_items"":{""BU-FTSH-4"":1,""BU-FTPA-3"":1,""BU-TANO-1"":1,""BU-TABO-1"":1,""BU-TAFL-1"":1}}"
TAIL-19,"{""bundled_items"":{""BU-FTSH-4"":1,""BU-FTPA-4"":1,""BU-TANO-1"":1,""BU-TABO-1"":1,""BU-TAFL-1"":1}}"
TAIL-20,"{""bundled_items"":{""BU-FTSH-4"":1,""BU-FTPA-5"":1,""BU-TANO-1"":1,""BU-TABO-1"":1,""BU-TAFL-1"":1}}"
TAIL-21,"{""bundled_items"":{""BU-FTSH-5"":1,""BU-FTPA-1"":1,""BU-TANO-1"":1,""BU-TABO-1"":1,""BU-TAFL-1"":1}}"
TAIL-22,"{""bundled_items"":{""BU-FTSH-5"":1,""BU-FTPA-2"":1,""BU-TANO-1"":1,""BU-TABO-1"":1,""BU-TAFL-1"":1}}"
TAIL-23,"{""bundled_items"":{""BU-FTSH-5"":1,""BU-FTPA-3"":1,""BU-TANO-1"":1,""BU-TABO-1"":1,""BU-TAFL-1"":1}}"
TAIL-24,"{""bundled_items"":{""BU-FTSH-5"":1,""BU-FTPA-4"":1,""BU-TANO-1"":1,""BU-TABO-1"":1,""BU-TAFL-1"":1}}"
TAIL-25,"{""bundled_items"":{""BU-FTSH-5"":1,""BU-FTPA-5"":1,""BU-TANO-1"":1,""BU-TABO-1"":1,""BU-TAFL-1"":1}}"
TAIL-26,"{""bundled_items"":{""BU-FTSH-6"":1,""BU-FTPA-1"":1,""BU-TANO-1"":1,""BU-TABO-1"":1,""BU-TAFL-1"":1}}"
TAIL-27,"{""bundled_items"":{""BU-FTSH-6"":1,""BU-FTPA-2"":1,""BU-TANO-1"":1,""BU-TABO-1"":1,""BU-TAFL-1"":1}}"
TAIL-28,"{""bundled_items"":{""BU-FTSH-6"":1,""BU-FTPA-3"":1,""BU-TANO-1"":1,""BU-TABO-1"":1,""BU-TAFL-1"":1}}"
TAIL-29,"{""bundled_items"":{""BU-FTSH-6"":1,""BU-FTPA-4"":1,""BU-TANO-1"":1,""BU-TABO-1"":1,""BU-TAFL-1"":1}}"
TAIL-30,"{""bundled_items"":{""BU-FTSH-6"":1,""BU-FTPA-5"":1,""BU-TANO-1"":1,""BU-TABO-1"":1,""BU-TAFL-1"":1}}"
TAIL-31,"{""bundled_items"":{""BU-FTSH-6"":1,""BU-FTPA-6"":1,""BU-TANO-1"":1,""BU-TABO-1"":1,""BU-TAFL-1"":1}}"
TAIL-32,"{""bundled_items"":{""BU-FTSH-1"":1,""BU-FTPA-6"":1,""BU-TANO-1"":1,""BU-TABO-1"":1,""BU-TAFL-1"":1}}"
TAIL-33,"{""bundled_items"":{""BU-FTSH-2"":1,""BU-FTPA-6"":1,""BU-TANO-1"":1,""BU-TABO-1"":1,""BU-TAFL-1"":1}}"
TAIL-34,"{""bundled_items"":{""BU-FTSH-3"":1,""BU-FTPA-6"":1,""BU-TANO-1"":1,""BU-TABO-1"":1,""BU-TAFL-1"":1}}"
TAIL-35,"{""bundled_items"":{""BU-FTSH-4"":1,""BU-FTPA-6"":1,""BU-TANO-1"":1,""BU-TABO-1"":1,""BU-TAFL-1"":1}}"
