image #,x,y,a
1,377 px,1740.5 px,-7.634
1,273.5 px,415.5 px,-11.391
1,1343 px,2444 px,-6.715
1,1389 px,1260.5 px,-8.599
1,1867.5 px,2364 px,-6.023
1,1587.5 px,2479.5 px,-10.226
1,1889 px,1942 px,-16.503
1,1837.5 px,1549.5 px,-5.129
1,1687.5 px,2344.5 px,4.577
1,1530 px,1639 px,1.881
1,1345 px,2018.5 px,-7.634
1,1114 px,1179 px,8.447
1,1056.5 px,1637.5 px,-2.322
1,1201 px,1401 px,13.863
1,1270 px,1675.5 px,12.481
1,1702.5 px,775 px,-0.911
1,1606.5 px,1206.5 px,-10.427
1,1985 px,1219 px,1.750
1,1746 px,243.5 px,-3.535
1,1374.5 px,372 px,5.654
1,1334.5 px,832.5 px,-5.115
1,1949 px,635 px,1.687
1,1647.5 px,439.5 px,-11.391
1,1466.5 px,589.5 px,11.071
1,1924 px,884.5 px,-8.421
1,1550 px,860.5 px,9.688
1,1781.5 px,933.5 px,6.880
1,252 px,2138.5 px,-2.511
1,1460.5 px,2840 px,-12.027
1,1808.5 px,2889 px,0.149
1,941.5 px,2198.5 px,-5.135
1,572.5 px,2118.5 px,4.054
1,1156 px,2584.5 px,0.087
1,849.5 px,2396 px,-12.992
1,673 px,2552.5 px,9.470
1,1138 px,2833.5 px,-10.022
1,768 px,2825.5 px,8.088
1,993.5 px,2735.5 px,5.280
1,1078 px,2008 px,8.088
1,493 px,1313 px,1.881
1,750.5 px,1770.5 px,4.542
1,562 px,784.5 px,-0.742
1,180 px,895 px,8.447
1,122.5 px,1353.5 px,-2.322
1,743.5 px,1185.5 px,4.479
1,455 px,976.5 px,-8.599
1,267 px,1117 px,13.863
1,709 px,1434 px,-5.629
1,336 px,1391.5 px,12.481
1,559.5 px,1475.5 px,9.673
1,866 px,527 px,1.881
1,935 px,-1.5 px,-0.742
1,1116.5 px,399.5 px,4.479
1,828 px,190.5 px,-8.599
1,640 px,331 px,13.863
1,1082 px,648 px,-5.629
1,709 px,605.5 px,12.481
1,932.5 px,689.5 px,9.673
1,1555 px,2025 px,-7.053
1,2294 px,290 px,-6.715
1,2296 px,-135.5 px,-7.634
1,2411.5 px,686 px,-12.027
1,1892.5 px,44.5 px,-5.135
1,1523.5 px,-35.5 px,4.054
1,2107 px,430.5 px,0.087
1,1800.5 px,242 px,-12.992
1,1624 px,398.5 px,9.470
1,2089 px,679.5 px,-10.022
1,1719 px,671.5 px,8.088
1,1944.5 px,581.5 px,5.280
1,2029 px,-146 px,8.088
1,328.5 px,751 px,-0.911
1,372 px,219.5 px,-3.535
1,0.5 px,348 px,5.654
1,575 px,611 px,1.687
1,92.5 px,565.5 px,11.071
1,518.5 px,20.5 px,-5.135
1,149.5 px,-59.5 px,4.054
1,733 px,406.5 px,0.087
1,426.5 px,218 px,-12.992
1,250 px,374.5 px,9.470
1,715 px,655.5 px,-10.022
1,345 px,647.5 px,8.088
1,570.5 px,557.5 px,5.280
1,655 px,-170 px,8.088
1,175 px,2358 px,-11.391
1,463 px,2727 px,-0.742
1,81 px,2837.5 px,8.447
1,356 px,2919.5 px,-8.599
1,541 px,2273.5 px,13.863
1,610 px,2548 px,12.481
1,229.5 px,2693.5 px,-0.911
1,273 px,2162 px,-3.535
1,-98.5 px,2290.5 px,5.654
1,476 px,2554 px,1.687
1,-6.5 px,2508.5 px,11.071
1,419.5 px,1962.5 px,-5.135
1,50.5 px,1883 px,4.054
1,634 px,2349.5 px,0.087
1,327.5 px,2161 px,-12.992
1,151.5 px,2317 px,9.470
1,616 px,2598.5 px,-10.022
1,246 px,2590 px,8.088
1,471.5 px,2500 px,5.280
1,556 px,1772.5 px,8.088
1,1790.5 px,1621.5 px,-7.806
1,2110 px,1572 px,-1.241
1,2409.5 px,1821.5 px,-18.286
1,2257.5 px,1995.5 px,4.176
1,2376 px,2258 px,2.794
1,1734 px,1845.5 px,-16.686
1,2055 px,2188 px,-6.036
1,1693 px,2333.5 px,3.152
1,1965.5 px,2388 px,-13.893
1,2093 px,1730 px,8.569
1,2189.5 px,1996.5 px,7.186
1,1819 px,2176 px,-6.206
1,1813.5 px,1642.5 px,-8.829
1,1460 px,1805 px,0.360
1,2051.5 px,2014.5 px,-3.608
1,1574.5 px,2014 px,5.776
1,2190 px,1796 px,-5.208
1,1867.5 px,1635.5 px,-18.286
1,1715.5 px,1808.5 px,4.176
1,2195 px,2044 px,-15.316
1,1835 px,2072 px,2.794
1,2047 px,1961.5 px,-0.015
1,265 px,2505.5 px,-7.806
1,584.5 px,2456 px,-1.241
1,883.5 px,2705.5 px,-18.286
1,731.5 px,2879 px,4.176
1,851 px,3142 px,2.794
1,209 px,2729 px,-16.686
1,530 px,3072 px,-6.036
1,168 px,3217.5 px,3.152
1,440.5 px,3271.5 px,-13.893
1,567.5 px,2614 px,8.569
1,664 px,2880 px,7.186
1,294 px,3060 px,-6.206
1,287.5 px,2526.5 px,-8.829
1,-65.5 px,2689 px,0.360
1,526.5 px,2898.5 px,-3.608
1,49.5 px,2898 px,5.776
1,664.5 px,2680 px,-5.208
1,342.5 px,2519 px,-18.286
1,190.5 px,2692.5 px,4.176
1,670 px,2928 px,-15.316
1,309 px,2956 px,2.794
1,521 px,2845.5 px,-0.015
1,959.5 px,2043 px,-2.511
1,1279.5 px,2023 px,4.054
1,1556.5 px,2301 px,-12.992
1,1381 px,2457.5 px,9.470
1,1475.5 px,2730 px,8.088
1,882.5 px,2262.5 px,-11.391
1,1171 px,2631.5 px,-0.742
1,788.5 px,2741.5 px,8.447
1,1063.5 px,2823.5 px,-8.599
1,1248 px,2178 px,13.863
1,1318 px,2452.5 px,12.481
1,937 px,2598 px,-0.911
1,980.5 px,2066.5 px,-3.535
1,608.5 px,2195 px,5.654
1,1183.5 px,2458 px,1.687
1,701.5 px,2413 px,11.071
1,1127.5 px,1867 px,-5.135
1,758 px,1787.5 px,4.054
1,1341.5 px,2253.5 px,0.087
1,1034.5 px,2065 px,-12.992
1,859 px,2221.5 px,9.470
1,1323 px,2502.5 px,-10.022
1,953.5 px,2494.5 px,8.088
1,1179 px,2404.5 px,5.280
1,972.5 px,2410.5 px,-7.806
1,1292 px,2360.5 px,-1.241
1,1591.5 px,2609.5 px,-18.286
1,1439.5 px,2783.5 px,4.176
1,1558 px,3046.5 px,2.794
1,916 px,2634 px,-16.686
1,1237 px,2977 px,-6.036
1,875 px,3122 px,3.152
1,1147.5 px,3176 px,-13.893
1,1275 px,2518.5 px,8.569
1,1371.5 px,2784.5 px,7.186
1,1001 px,2965 px,-6.206
1,995.5 px,2431.5 px,-8.829
1,642 px,2594 px,0.360
1,1233.5 px,2803.5 px,-3.608
1,756.5 px,2802.5 px,5.776
1,1372 px,2584.5 px,-5.208
1,1049.5 px,2423.5 px,-18.286
1,897.5 px,2597.5 px,4.176
1,1377 px,2832.5 px,-15.316
1,1017 px,2860.5 px,2.794
1,1229 px,2750.5 px,-0.015
1,1696 px,2089 px,-2.511
1,2016.5 px,2069 px,4.054
1,2293.5 px,2347 px,-12.992
1,2117.5 px,2503 px,9.470
1,2212 px,2776 px,8.088
1,1618.5 px,2308.5 px,-11.391
1,1907 px,2677.5 px,-0.742
1,1525 px,2788 px,8.447
1,1800 px,2869.5 px,-8.599
1,1985 px,2224 px,13.863
1,2054 px,2498.5 px,12.481
1,1673.5 px,2644 px,-0.911
1,1717 px,2112.5 px,-3.535
1,1345.5 px,2241 px,5.654
1,1920 px,2504 px,1.687
1,1437.5 px,2458.5 px,11.071
1,1863.5 px,1913.5 px,-5.135
1,1494.5 px,1833.5 px,4.054
1,2078 px,2299.5 px,0.087
1,1771.5 px,2111 px,-12.992
1,1595 px,2267.5 px,9.470
1,2060 px,2548.5 px,-10.022
1,1690 px,2540.5 px,8.088
1,1915.5 px,2450.5 px,5.280
1,1709 px,2456.5 px,-7.806
1,2028.5 px,2406.5 px,-1.241
1,2327.5 px,2656 px,-18.286
1,2175.5 px,2829.5 px,4.176
1,2295 px,3092.5 px,2.794
1,1652.5 px,2680 px,-16.686
1,1974 px,3023 px,-6.036
1,1612 px,3168 px,3.152
1,1884.5 px,3222 px,-13.893
1,2011.5 px,2564.5 px,8.569
1,2108.5 px,2831 px,7.186
1,1738 px,3011 px,-6.206
1,1731.5 px,2477.5 px,-8.829
1,1378.5 px,2640 px,0.360
1,1970.5 px,2849 px,-3.608
1,1493.5 px,2848.5 px,5.776
1,2108.5 px,2630.5 px,-5.208
1,1786.5 px,2469.5 px,-18.286
1,1634.5 px,2643.5 px,4.176
1,2113.5 px,2878.5 px,-15.316
1,1753 px,2906.5 px,2.794
1,1965 px,2796.5 px,-0.015
1,1001.5 px,1090 px,-2.511
1,1321.5 px,1070 px,4.054
1,1598.5 px,1348 px,-12.992
1,1423 px,1504.5 px,9.470
1,1517.5 px,1777 px,8.088
1,924.5 px,1309.5 px,-11.391
1,1213 px,1678.5 px,-0.742
1,830.5 px,1788.5 px,8.447
1,1105.5 px,1870.5 px,-8.599
1,1290 px,1225 px,13.863
1,1360 px,1499.5 px,12.481
1,979 px,1645 px,-0.911
1,1022.5 px,1113.5 px,-3.535
1,650.5 px,1242 px,5.654
1,1225.5 px,1505 px,1.687
1,743.5 px,1460 px,11.071
1,1169.5 px,914 px,-5.135
1,800 px,834.5 px,4.054
1,1383.5 px,1300.5 px,0.087
1,1076.5 px,1112 px,-12.992
1,901 px,1268.5 px,9.470
1,1365 px,1549.5 px,-10.022
1,995.5 px,1541.5 px,8.088
1,1221 px,1451.5 px,5.280
1,1014.5 px,1457.5 px,-7.806
1,1334 px,1407.5 px,-1.241
1,1633.5 px,1656.5 px,-18.286
1,1481.5 px,1830.5 px,4.176
1,1600 px,2093.5 px,2.794
1,958 px,1681 px,-16.686
1,1279 px,2024 px,-6.036
1,917 px,2169 px,3.152
1,1189.5 px,2223 px,-13.893
1,1317 px,1565.5 px,8.569
1,1413.5 px,1831.5 px,7.186
